iter	Passed	Remaining
908	15041	1505
909	15057	1489
910	15070	1472
911	15087	1455
912	15101	1439
913	15115	1422
914	15129	1405
915	15144	1388
916	15160	1372
917	15174	1355
918	15189	1338
919	15203	1322
920	15221	1305
921	15235	1288
922	15250	1272
923	15264	1255
924	15279	1238
925	15293	1222
926	15307	1205
927	15321	1188
928	15336	1172
929	15351	1155
930	15367	1138
931	15383	1122
932	15396	1105
933	15412	1089
934	15426	1072
935	15441	1055
936	15456	1039
937	15470	1022
938	15484	1005
939	15498	989
940	15515	972
941	15530	956
942	15545	939
943	15560	923
944	15574	906
945	15589	889
946	15603	873
947	15617	856
948	15632	840
949	15651	823
950	15667	807
951	15685	790
952	15699	774
953	15713	757
954	15728	741
955	15742	724
956	15756	707
957	15770	691
958	15784	674
959	15799	658
960	15814	641
961	15829	625
962	15844	608
963	15860	592
964	15875	575
965	15887	559
966	15902	542
967	15917	526
968	15931	509
969	15945	493
970	15960	476
971	15974	460
972	15991	443
973	16007	427
974	16021	410
975	16036	394
976	16049	377
977	16062	361
978	16078	344
979	16094	328
980	16109	312
981	16127	295
982	16147	279
983	16163	262
984	16180	246
985	16196	229
986	16212	213
987	16228	197
988	16243	180
989	16262	164
990	16279	147
991	16293	131
992	16307	114
993	16322	98
994	16336	82
995	16350	65
996	16364	49
997	16382	32
998	16396	16
999	16414	0
