iter	Passed	Remaining
770	30866	9167
771	30907	9128
772	30945	9087
773	30983	9046
774	31023	9006
775	31062	8966
776	31110	8928
777	31152	8889
778	31190	8848
779	31235	8810
780	31281	8771
781	31323	8732
782	31369	8693
783	31418	8656
784	31457	8615
785	31496	8575
786	31535	8534
787	31573	8494
788	31616	8455
789	31652	8414
790	31686	8372
791	31719	8330
792	31751	8288
793	31782	8245
794	31812	8203
795	31843	8160
796	31877	8119
797	31909	8077
798	31940	8035
799	31971	7992
800	32001	7950
801	32031	7907
802	32061	7865
803	32092	7823
804	32124	7781
805	32157	7740
806	32190	7698
807	32221	7656
808	32253	7614
809	32284	7572
810	32315	7530
811	32346	7489
812	32376	7446
813	32406	7404
814	32437	7363
815	32469	7321
816	32498	7279
817	32526	7237
818	32556	7195
819	32587	7153
820	32619	7111
821	32650	7070
822	32679	7028
823	32710	6986
824	32742	6945
825	32775	6904
826	32811	6863
827	32845	6823
828	32879	6782
829	32914	6741
830	32946	6700
831	32978	6659
832	33011	6618
833	33046	6577
834	33082	6537
835	33118	6496
836	33153	6456
837	33186	6415
838	33222	6375
839	33260	6335
840	33300	6295
841	33340	6256
842	33378	6216
843	33415	6176
844	33454	6136
845	33491	6096
846	33529	6056
847	33568	6017
848	33608	5977
849	33644	5937
850	33684	5897
851	33722	5857
852	33758	5817
853	33794	5777
854	33831	5737
855	33867	5697
856	33910	5658
857	33957	5620
858	34001	5581
859	34045	5542
860	34092	5503
861	34135	5464
862	34172	5424
863	34214	5385
864	34255	5346
865	34294	5306
866	34337	5267
867	34376	5227
868	34414	5187
869	34454	5148
870	34492	5108
871	34529	5068
872	34570	5029
873	34610	4989
874	34647	4949
875	34685	4909
876	34722	4869
877	34761	4830
878	34801	4790
879	34840	4751
880	34882	4711
881	34920	4671
882	34959	4632
883	34999	4592
884	35037	4552
885	35075	4513
886	35114	4473
887	35151	4433
888	35189	4393
889	35230	4354
890	35269	4314
891	35309	4275
892	35346	4235
893	35385	4195
894	35428	4156
895	35466	4116
896	35507	4077
897	35543	4037
898	35580	3997
899	35619	3957
900	35657	3917
901	35697	3878
902	35743	3839
903	35790	3800
904	35840	3762
905	35883	3723
906	35924	3683
907	35959	3643
908	35991	3603
909	36025	3562
910	36058	3522
911	36093	3482
912	36130	3442
913	36166	3402
914	36201	3362
915	36232	3322
916	36265	3282
917	36296	3242
918	36332	3202
919	36364	3162
920	36396	3121
921	36429	3081
922	36466	3042
923	36500	3002
924	36533	2962
925	36571	2922
926	36605	2882
927	36638	2842
928	36674	2802
929	36717	2763
930	36753	2723
931	36789	2684
932	36824	2644
933	36858	2604
934	36893	2564
935	36926	2524
936	36959	2485
937	36989	2444
938	37018	2404
939	37050	2364
940	37083	2325
941	37114	2285
942	37143	2245
943	37172	2205
944	37202	2165
945	37231	2125
946	37263	2085
947	37293	2045
948	37322	2005
949	37351	1965
950	37382	1926
951	37413	1886
952	37443	1846
953	37472	1806
954	37502	1767
955	37533	1727
956	37563	1687
957	37593	1648
958	37625	1608
959	37657	1569
960	37691	1529
961	37722	1490
962	37756	1450
963	37790	1411
964	37824	1371
965	37857	1332
966	37890	1293
967	37922	1253
968	37953	1214
969	37984	1174
970	38015	1135
971	38045	1095
972	38075	1056
973	38105	1017
974	38139	977
975	38171	938
976	38201	899
977	38231	860
978	38261	820
979	38296	781
980	38329	742
981	38360	703
982	38391	663
983	38424	624
984	38457	585
985	38488	546
986	38521	507
987	38554	468
988	38585	429
989	38615	390
990	38651	351
991	38686	311
992	38720	272
993	38754	233
994	38791	194
995	38825	155
996	38860	116
997	38893	77
998	38926	38
999	38961	0
